CIK,Header,Product,Date,Amount
771497,Interest Rate Swap,Notional amount,"
Apr  30  2016 
USD ($) 
instrument",
771497,Interest Rate Swap,Notional amount,"
Apr  30  2016 
USD ($) 
instrument","$ 155,000,000"
771497,Interest Rate Swap,Notional amount,"
Apr  30  2016 
USD ($) 
instrument", 
771497,Interest Rate Swap,Notional amount,"
Apr  30  2016 
USD ($) 
instrument", 
771497,Interest Rate Swap,"Derivative, fixed interest rate","
Apr  30  2016 
USD ($) 
instrument",
771497,Interest Rate Swap,"Derivative, fixed interest rate","
Apr  30  2016 
USD ($) 
instrument",1.05%
771497,Interest Rate Swap,"Derivative, fixed interest rate","
Apr  30  2016 
USD ($) 
instrument", 
771497,Interest Rate Swap,"Derivative, fixed interest rate","
Apr  30  2016 
USD ($) 
instrument", 
771497,Subsequent Event | Interest Rate Swap,Line of Credit Facility,"
Apr  30  2016 
USD ($) 
instrument",
771497,Subsequent Event | Interest Rate Swap,Line of Credit Facility,"
Apr  30  2016 
USD ($) 
instrument", 
771497,Subsequent Event | Interest Rate Swap,Line of Credit Facility,"
Apr  30  2016 
USD ($) 
instrument", 
771497,Subsequent Event | Interest Rate Swap,Line of Credit Facility,"
Apr  30  2016 
USD ($) 
instrument", 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016,
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016,
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016,2
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016, 
